Name,placeID,address,location,rating,userRatingTotal
細鳳果茶嘉義忠孝店,ChIJsUjGhQuVbjQRifMMSmYrIt8,600台灣嘉義市東區忠孝路230號,"23.4835834,120.453962",4.4,387
幸運茶森 ｜KOJO*Tea 考究手搖飲,ChIJEwVBP4aVbjQRKY7y5u6ancM,600台灣嘉義市東區中山路301號,"23.4800324,120.4500983",4.9,210
袁家筒仔米糕排骨酥,ChIJ79ZtozaUbjQRa2Sfcibeg7s,600台灣嘉義市東區忠孝路光彩街東市場飲食區16號,"23.4787552,120.4541843",4.3,803
一銀仙草創始店｜油頭雞蛋糕｜品花豆花,ChIJ4xzdzC-UbjQRVrLKfYvGCRk,"525號, 西区, Jiayi, 中正路西榮里台灣 600","23.4788201,120.4465454",4.2,795
皇家豆花,ChIJK0AXwjSUbjQR5kKzzQ3Cf4A,600台灣嘉義市東區共和路123號,"23.4834055,120.4548659",4.7,389
那個那個咖啡 早午餐,ChIJnVuwlzrJbjQRK5pp5fyAPAI,640台灣雲林縣斗六市建成路275號,"23.7029297,120.5323531",4.4,171
卓武咖啡,ChIJIbDIDyKUbjQRykvCkESaYY4,600台灣嘉義市西區民生北路194號,"23.4787031,120.4465084",4.4,391
遇見海豚,ChIJHxxT_8qVbjQRoTsYWRYZO24,600台灣嘉義市東區林森東路85號,"23.4869548,120.4563201",1.9,71
日船章魚小丸子 嘉義國華店,ChIJGTtgmQKVbjQRSD88TduIHdQ,600台灣嘉義市西區國華街245號,"23.4790152,120.4484176",4.5,87
阿池魷魚肉羹,ChIJQ4yFYTCUbjQRFWdUgnWlWkU,60062台灣嘉義市西區世賢路四段350巷27弄40號,"23.4627365,120.4511112",3.8,194
巴美食堂,ChIJs6jbfjGUbjQR5cPFELSN4pI,600台灣嘉義市東區公明路396號,"23.4799172,120.4507391",4.5,153
龍承綠豆沙牛奶,ChIJXcs0mjGUbjQRbpFOnvBR17I,600台灣嘉義市東區文化路178號,"23.4793105,120.4497761",4.1,1026
文化綠茶坊,ChIJJyJPnzGUbjQRzdGnZpOMjBU,"號 No, No. 162文化路東區嘉義市台灣 600","23.4789773,120.4498405",4,83
西門町楊記排骨酥麵（嘉義店）,ChIJM0Kjye2VbjQRNZpL4fP7Gls,600台灣嘉義市東區中正路377號,"23.4787372,120.4498791",3.5,153
給給茶記 kapkapchakee,ChIJB5FdbPaVbjQR3jb5ENBaTCM,600台灣嘉義市西區新榮路319、321號1樓,"23.4789942,120.4440846",4.6,139
佳有 炒飯 炒泡麵,ChIJr8_kjGSXbjQRlUbsYThCruM,600台灣嘉義市西區中正路642號,"23.478759,120.4440825",4.1,72
岬島 Jia Daò,ChIJHQFw8ICVbjQRVArNwOKZOgw,600台灣嘉義市東區公明路372-1號1樓,"23.4799484,120.451594",4.3,399
古丁原味品茶館 嘉義博愛店-24hr,ChIJBX_XSUWVbjQRK_dY1h1SOCY,600台灣嘉義市西區博愛路二段189號,"23.4807627,120.439162",3.3,81
津有味油飯滷肉飯,ChIJaVGN2dKVbjQRuXrowS60ELo,600台灣嘉義市西區向榮街255號,"23.487466,120.4447285",4.2,317
波特屋起司烤馬鈴薯,ChIJefQtCzGUbjQRzIfIERMIjxs,600台灣嘉義市東區中正路482號,"23.4788,120.4481601",4.7,169
龜記茗品 -嘉義文化店,ChIJlzfOb_eVbjQRSBFNawVrMyc,600台灣嘉義市東區文化路174號,"23.4792793,120.4497792",4.5,384
阿宏炭烤大腸麵線&正大腸包小腸,ChIJybgtxjGUbjQRt8zQzMeayyI,600台灣嘉義市西區國華街233號,"23.4785099,120.4485492",4.4,76
馬祖奶茶嘉義台林店,ChIJ4ZqmzTyVbjQR80N74N3tg2Q,600台灣嘉義市東區台林街129號,"23.4954273,120.4548011",5,219
保安市場手工湯圓 燒麻糬、麻糬冰,ChIJoyZoEIKXbjQRwNDYr3QkBmk,600台灣嘉義市西區保安一路236號,"23.4930288,120.4355131",5,40
岩植YANZHI-文化店,ChIJV3zpMXyVbjQRk-eOa6hrCVQ,600台灣嘉義市東區文化路156號,"23.4787123,120.449883",4.6,220
DiDaDi 芒果冰沙,ChIJ6QJRjkOVbjQRJGBvQbDJKCY,600台灣嘉義市西區文化路107號,"23.4785717,120.4496795",4.4,16
紅紅脆皮雞蛋糕（嘉義文化店）,ChIJwZyUxBCVbjQRhF2IEqT70rw,600台灣嘉義市西區文化路上.中正路口號,"23.4789247,120.4496649",4.5,44
嘉義凉麵四味果汁,ChIJ_8QL8NWVbjQR1kOZWozTKoM,600台灣嘉義市西區保安一路228號對面號,"23.493052,120.4358254",4.5,299
正方芳Cafe,ChIJj9aa1lOVbjQRKHlnXa_Iz_w,600台灣嘉義市東區林森東路103號,"23.4869476,120.4565519",4.9,225
魚虎之家,ChIJq5C7G8SVbjQRiNzd3GiWkjs,600台灣嘉義市西區中興路134號,"23.4824874,120.4367149",4.8,25
莫忘鯛魚燒(嘉義台林店),ChIJK92Y9VOVbjQRnBxDhtW8rN8,600台灣嘉義市東區台林街108號,"23.495158,120.4547168",4.5,31
